Model,Dataset,Scale,PSNR,SSIM,PI,NIQE,LPIPS,Parameters,ModelSize_MB
RealESRGAN_26_LightweightDiscriminator_x4,BSD100,2,24.02,0.6674,3.1744,4.7356,0.2604,16697987,63.7
RealESRGAN_26_LightweightDiscriminator_x4,BSD100,3,24.02,0.6674,3.1744,4.7356,0.2604,16697987,63.7
RealESRGAN_26_LightweightDiscriminator_x4,BSD100,4,24.02,0.6674,3.1744,4.7356,0.2604,16697987,63.7
RealESRGAN_26_LightweightDiscriminator_x4,Set14,2,23.75,0.6996,3.5131,4.7506,0.2093,16697987,63.7
RealESRGAN_26_LightweightDiscriminator_x4,Set14,3,23.75,0.6996,3.5131,4.7506,0.2093,16697987,63.7
RealESRGAN_26_LightweightDiscriminator_x4,Set14,4,23.75,0.6996,3.5131,4.7506,0.2093,16697987,63.7
RealESRGAN_26_LightweightDiscriminator_x4,Set5,2,25.09,0.791,4.1407,6.0742,0.1657,16697987,63.7
RealESRGAN_26_LightweightDiscriminator_x4,Set5,3,25.09,0.791,4.1407,6.0742,0.1657,16697987,63.7
RealESRGAN_26_LightweightDiscriminator_x4,Set5,4,25.09,0.791,4.1407,6.0742,0.1657,16697987,63.7
RealESRGAN_26_LightweightDiscriminator_x4,Urban100,2,22.67,0.7163,4.2042,5.4512,0.2132,16697987,63.7
RealESRGAN_26_LightweightDiscriminator_x4,Urban100,4,22.67,0.7163,4.2042,5.4512,0.2132,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,BSD100,2,24.4,0.6741,3.3014,4.822,0.2663,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,BSD100,3,24.4,0.6741,3.3014,4.822,0.2663,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,BSD100,4,24.4,0.6741,3.3014,4.822,0.2663,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,Set14,2,24.22,0.7085,3.6841,4.8069,0.2096,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,Set14,3,24.22,0.7085,3.6841,4.8069,0.2096,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,Set14,4,24.22,0.7085,3.6841,4.8069,0.2096,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,Set5,2,25.75,0.7959,4.2285,6.0595,0.1549,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,Set5,3,25.75,0.7959,4.2285,6.0595,0.1549,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,Set5,4,25.75,0.7959,4.2285,6.0595,0.1549,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,Urban100,2,22.8,0.7158,4.1342,5.2293,0.2129,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,Urban100,4,22.8,0.7158,4.1342,5.2293,0.2129,16697987,63.7
RealESRGAN_28_UltraFastQualityDiscriminatorModel_x4,BSD100,2,24.62,0.6803,3.4171,4.8559,0.2761,16697987,63.7
RealESRGAN_28_UltraFastQualityDiscriminatorModel_x4,BSD100,3,24.62,0.6803,3.4171,4.8559,0.2761,16697987,63.7
RealESRGAN_28_UltraFastQualityDiscriminatorModel_x4,BSD100,4,24.62,0.6803,3.4171,4.8559,0.2761,16697987,63.7
RealESRGAN_28_UltraFastQualityDiscriminatorModel_x4,Set14,2,24.12,0.7098,3.6993,4.7616,0.2156,16697987,63.7
RealESRGAN_28_UltraFastQualityDiscriminatorModel_x4,Set14,3,24.12,0.7098,3.6993,4.7616,0.2156,16697987,63.7
RealESRGAN_28_UltraFastQualityDiscriminatorModel_x4,Set14,4,24.12,0.7098,3.6993,4.7616,0.2156,16697987,63.7
RealESRGAN_28_UltraFastQualityDiscriminatorModel_x4,Set5,2,25.58,0.7934,4.241,6.0127,0.1626,16697987,63.7
RealESRGAN_28_UltraFastQualityDiscriminatorModel_x4,Set5,3,25.58,0.7934,4.241,6.0127,0.1626,16697987,63.7
RealESRGAN_28_UltraFastQualityDiscriminatorModel_x4,Set5,4,25.58,0.7934,4.241,6.0127,0.1626,16697987,63.7
RealESRGAN_28_UltraFastQualityDiscriminatorModel_x4,Urban100,2,22.69,0.7166,4.2034,5.2986,0.2152,16697987,63.7
RealESRGAN_28_UltraFastQualityDiscriminatorModel_x4,Urban100,4,22.69,0.7166,4.2034,5.2986,0.2152,16697987,63.7
RealESRGAN_29_DEFAULT_x4,BSD100,2,23.74,0.6617,2.745,3.6848,0.2718,16697987,63.7
RealESRGAN_29_DEFAULT_x4,BSD100,3,23.74,0.6617,2.745,3.6848,0.2718,16697987,63.7
RealESRGAN_29_DEFAULT_x4,BSD100,4,23.74,0.6617,2.745,3.6848,0.2718,16697987,63.7
RealESRGAN_29_DEFAULT_x4,Set14,2,23.36,0.6985,3.3198,4.0211,0.2195,16697987,63.7
RealESRGAN_29_DEFAULT_x4,Set14,3,23.36,0.6985,3.3198,4.0211,0.2195,16697987,63.7
RealESRGAN_29_DEFAULT_x4,Set14,4,23.36,0.6985,3.3198,4.0211,0.2195,16697987,63.7
RealESRGAN_29_DEFAULT_x4,Set5,2,24.46,0.7681,3.8609,5.1911,0.1809,16697987,63.7
RealESRGAN_29_DEFAULT_x4,Set5,3,24.46,0.7681,3.8609,5.1911,0.1809,16697987,63.7
RealESRGAN_29_DEFAULT_x4,Set5,4,24.46,0.7681,3.8609,5.1911,0.1809,16697987,63.7
RealESRGAN_29_DEFAULT_x4,Urban100,2,22.15,0.7083,3.8034,4.6411,0.2067,16697987,63.7
RealESRGAN_29_DEFAULT_x4,Urban100,4,22.15,0.7083,3.8034,4.6411,0.2067,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,BSD100,2,24.55,0.6761,3.2249,4.5824,0.2608,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,BSD100,3,24.55,0.6761,3.2249,4.5824,0.2608,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,BSD100,4,24.55,0.6761,3.2249,4.5824,0.2608,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,Set14,2,24.31,0.7086,3.6217,4.5619,0.2023,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,Set14,3,24.31,0.7086,3.6217,4.5619,0.2023,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,Set14,4,24.31,0.7086,3.6217,4.5619,0.2023,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,Set5,2,25.6,0.7866,4.2372,5.7967,0.1532,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,Set5,3,25.6,0.7866,4.2372,5.7967,0.1532,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,Set5,4,25.6,0.7866,4.2372,5.7967,0.1532,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,Urban100,2,22.96,0.714,4.1926,5.1544,0.2231,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,Urban100,4,22.96,0.714,4.1926,5.1544,0.2231,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,BSD100,2,24.51,0.679,3.1673,4.4738,0.2754,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,BSD100,3,24.51,0.679,3.1673,4.4738,0.2754,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,BSD100,4,24.51,0.679,3.1673,4.4738,0.2754,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Set14,2,24.17,0.7059,3.6024,4.5225,0.2172,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Set14,3,24.17,0.7059,3.6024,4.5225,0.2172,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Set14,4,24.17,0.7059,3.6024,4.5225,0.2172,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Set5,2,25.49,0.7886,4.1401,5.7567,0.1695,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Set5,3,25.49,0.7886,4.1401,5.7567,0.1695,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Set5,4,25.49,0.7886,4.1401,5.7567,0.1695,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Urban100,2,22.85,0.7176,4.0742,5.05,0.2178,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Urban100,4,22.85,0.7176,4.0742,5.05,0.2178,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,BSD100,2,24.84,0.686,3.4958,4.9229,0.2729,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,BSD100,3,24.84,0.686,3.4958,4.9229,0.2729,16697987,63.7
