Model,Dataset,Enlargement,PSNR,SSIM,PI,NIQE,LPIPS,Parameters,ModelSize_MB
RealESRGAN_26_LightweightDiscriminator_x4,BSD100,2x,25.98,0.7798,3.1411,4.873,0.1869,16697987,63.7
RealESRGAN_26_LightweightDiscriminator_x4,BSD100,3x,23.87,0.6603,3.0969,4.5095,0.2716,16697987,63.7
RealESRGAN_26_LightweightDiscriminator_x4,BSD100,4x,22.21,0.5622,3.2851,4.8243,0.3226,16697987,63.7
RealESRGAN_26_LightweightDiscriminator_x4,Set14,2x,25.56,0.7993,3.5157,4.946,0.1462,16697987,63.7
RealESRGAN_26_LightweightDiscriminator_x4,Set14,3x,23.72,0.6986,3.4828,4.6083,0.2073,16697987,63.7
RealESRGAN_26_LightweightDiscriminator_x4,Set14,4x,21.95,0.601,3.5409,4.6975,0.2744,16697987,63.7
RealESRGAN_26_LightweightDiscriminator_x4,Set5,2x,27.82,0.8738,3.7912,5.6875,0.1196,16697987,63.7
RealESRGAN_26_LightweightDiscriminator_x4,Set5,3x,24.99,0.7949,4.3496,6.428,0.16,16697987,63.7
RealESRGAN_26_LightweightDiscriminator_x4,Set5,4x,22.48,0.7043,4.2814,6.1072,0.2174,16697987,63.7
RealESRGAN_26_LightweightDiscriminator_x4,Urban100,2x,24.47,0.8285,4.1902,6.2099,0.1095,16697987,63.7
RealESRGAN_26_LightweightDiscriminator_x4,Urban100,4x,20.87,0.6041,4.2182,4.6924,0.3169,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,BSD100,2x,26.24,0.7817,3.1863,4.8665,0.1929,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,BSD100,3x,24.22,0.6662,3.4071,4.9613,0.279,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,BSD100,4x,22.75,0.5744,3.3108,4.6383,0.3269,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,Set14,2x,26.03,0.807,3.6228,5.0558,0.1483,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,Set14,3x,24.11,0.707,3.7452,4.7663,0.209,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,Set14,4x,22.51,0.6115,3.6845,4.5984,0.2716,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,Set5,2x,28.18,0.8746,3.8968,5.5084,0.1109,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,Set5,3x,25.62,0.801,4.2755,6.168,0.1515,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,Set5,4x,23.47,0.7122,4.5133,6.5021,0.2024,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,Urban100,2x,24.53,0.8247,4.1742,6.0908,0.1153,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,Urban100,4x,21.06,0.6068,4.0943,4.3679,0.3106,16697987,63.7
RealESRGAN_28_UltraFastQualityDiscriminatorModel_x4,BSD100,2x,26.33,0.7845,3.0887,4.6203,0.2036,16697987,63.7
RealESRGAN_28_UltraFastQualityDiscriminatorModel_x4,BSD100,3x,24.41,0.6709,3.5674,5.0433,0.2892,16697987,63.7
RealESRGAN_28_UltraFastQualityDiscriminatorModel_x4,BSD100,4x,23.14,0.5855,3.5952,4.9043,0.3356,16697987,63.7
